Date,Company,Position,Location,Apply Here,Posting Time,Seniority Level
2023-Dec-21,Xoxoday,Xoxoday - Engineering Manager - Node.js/React.js ,No Info,https://hirist.com/j/xoxoday-engineering-manager-nodejsreactjs-7-9-yrs-1254902.html?ref=kp_br&jobpos=82&jobversion=2,No Info,No Info
2023-Dec-21,EY,EY - Multifond Application Developer - Java/Spring Boot ,No Info,https://hirist.com/j/ey-multifond-application-developer-javaspring-boot-2-12-yrs-1254798.html?ref=kp_br&jobpos=83&jobversion=2,No Info,No Info
2023-Dec-21,Full Stack Lead,Full Stack Lead - Node.js/Angular/PostgreSQL ,No Info,https://hirist.com/j/full-stack-lead-nodejsangularpostgresql-5-8-yrs-1254104.html?ref=kp_br&jobpos=84&jobversion=2,No Info,No Info
2023-Dec-21,Deloitte,Deloitte - Senior Consultant - MERN Stack Development ,No Info,https://hirist.com/j/deloitte-senior-consultant-mern-stack-development-8-10-yrs-1253542.html?ref=kp_br&jobpos=85&jobversion=2,No Info,No Info
2023-Dec-21,FreshToHome,FreshToHome - Software Developer - PHP/Python ,No Info,https://hirist.com/j/freshtohome-software-developer-phppython-0-3-yrs-1253364.html?ref=kp_br&jobpos=86&jobversion=2,No Info,No Info
2023-Dec-21,Magicbricks,Magicbricks - Senior Software Engineer - Java ,No Info,https://hirist.com/j/magicbricks-senior-software-engineer-java-4-5-yrs-1250112.html?ref=kp_br&jobpos=87&jobversion=2,No Info,No Info
2023-Dec-21,Happiest Mind,Happiest Mind - React.js Technical Lead - Web App ,No Info,https://hirist.com/j/happiest-mind-reactjs-technical-lead-web-app-9-13-yrs-1250411.html?ref=kp_br&jobpos=88&jobversion=2,No Info,No Info
2023-Dec-21,Happiest Mind,Happiest Mind - Wordpress Architect - PHP ,No Info,https://hirist.com/j/happiest-mind-wordpress-architect-php-12-16-yrs-1250442.html?ref=kp_br&jobpos=89&jobversion=2,No Info,No Info
2023-Dec-21,Frontend Developer,Frontend Developer - HTML5/CSS3 ,No Info,https://hirist.com/j/frontend-developer-html5css3-2-6-yrs-1250141.html?ref=kp_br&jobpos=90&jobversion=2,No Info,No Info
2023-Dec-21,Tractor Junction,Tractor Junction - React.js/React Native Developer - Web Applications ,No Info,https://hirist.com/j/tractor-junction-reactjsreact-native-developer-web-applications-4-7-yrs-1250190.html?ref=kp_br&jobpos=91&jobversion=2,No Info,No Info
2023-Dec-21,Java Full Stack Developer,Java Full Stack Developer - Spring Boot/React.js ,No Info,https://hirist.com/j/java-full-stack-developer-spring-bootreactjs-5-10-yrs-1279100.html?ref=kp_prm&jobpos=92&jobversion=2,No Info,No Info
2023-Dec-21,6D Technologies,6D Technologies - Technical Lead - Full Stack Development ,No Info,https://hirist.com/j/6d-technologies-technical-lead-full-stack-development-6-8-yrs-1278633.html?ref=kp_prm&jobpos=93&jobversion=2,No Info,No Info
2023-Dec-21,Senior Full Stack Developer,Senior Full Stack Developer - React.js/Next.js ,No Info,https://hirist.com/j/senior-full-stack-developer-reactjsnextjs-4-8-yrs-1278551.html?ref=kp_prm&jobpos=94&jobversion=2,No Info,No Info
2023-Dec-21,Creativefuel,Creativefuel - React.js Developer - HTML/CSS/Javascript ,No Info,https://hirist.com/j/creativefuel-reactjs-developer-htmlcssjavascript-1-3-yrs-1278439.html?ref=kp_prm&jobpos=95&jobversion=2,No Info,No Info
2023-Dec-21,Principle Software Engineer,Principle Software Engineer - Frontend ,No Info,https://hirist.com/j/principle-software-engineer-frontend-10-16-yrs-1278042.html?ref=kp_prm&jobpos=96&jobversion=2,No Info,No Info
2023-Dec-21,Full Stack Engineer,Full Stack Engineer - Ruby on Rails ,No Info,https://hirist.com/j/full-stack-engineer-ruby-on-rails-2-9-yrs-1277741.html?ref=kp_prm&jobpos=97&jobversion=2,No Info,No Info
2023-Dec-21,6D Technologies,6D Technologies - UI Developer - React.js/Jaavscript ,No Info,https://hirist.com/j/6d-technologies-ui-developer-reactjsjaavscript-2-4-yrs-1276776.html?ref=kp_prm&jobpos=98&jobversion=2,No Info,No Info
2023-Dec-21,Java Full Stack Developer,Java Full Stack Developer - Web & Mobile Apps ,No Info,https://hirist.com/j/java-full-stack-developer-web-mobile-apps-5-8-yrs-1276328.html?ref=kp_prm&jobpos=99&jobversion=2,No Info,No Info
2023-Dec-21,Lifo Technologies,Lifo Technologies - Software Developer - Python ,No Info,https://hirist.com/j/lifo-technologies-software-developer-python-5-7-yrs-1275291.html?ref=kp_prm&jobpos=100&jobversion=2,No Info,No Info
2023-Dec-21,Guidewire Digital Portal Developer,Guidewire Digital Portal Developer - Node.js/React.js ,No Info,https://hirist.com/j/guidewire-digital-portal-developer-nodejsreactjs-3-10-yrs-1275183.html?ref=kp_prm&jobpos=101&jobversion=2,No Info,No Info
2023-Dec-21,Java Full Stack Developer,Java Full Stack Developer - Spring/AngularJS ,No Info,https://hirist.com/j/java-full-stack-developer-springangularjs-5-10-yrs-1274785.html?ref=kp_prm&jobpos=102&jobversion=2,No Info,No Info
2023-Dec-21,Gammastack,Gammastack - Ruby on Rails Developer - Vue.js/React.js/AngularJS ,No Info,https://hirist.com/j/gammastack-ruby-on-rails-developer-vuejsreactjsangularjs-4-6-yrs-1274351.html?ref=kp_prm&jobpos=103&jobversion=2,No Info,No Info
2023-Dec-21,Qvantel,Qvantel - React.js Developer - Web Apps ,No Info,https://hirist.com/j/qvantel-reactjs-developer-web-apps-4-8-yrs-1274294.html?ref=kp_prm&jobpos=104&jobversion=2,No Info,No Info
2023-Dec-21,PanTerra Networks,PanTerra Networks - React.js Developer - Web Technologies ,No Info,https://hirist.com/j/panterra-networks-reactjs-developer-web-technologies-4-7-yrs-1258131.html?ref=kp_prm&jobpos=105&jobversion=2,No Info,No Info
2023-Dec-21,Full Stack/React Native Developer ,Full Stack/React Native Developer  - Mobile Apps ,No Info,https://hirist.com/j/full-stackreact-native-developer-mobile-apps-2-5-yrs-1279010.html?ref=kp&jobpos=106&jobversion=2,No Info,No Info
2023-Dec-21,LiquiLoans,LiquiLoans - Associate Vice President - Technology - PHP/Laravel Frameworks ,No Info,https://hirist.com/j/liquiloans-associate-vice-president-technology-phplaravel-frameworks-7-13-yrs-1279083.html?ref=kp&jobpos=107&jobversion=2,No Info,No Info
2023-Dec-21,UI Architect,UI Architect - React.js/Vue.js ,No Info,https://hirist.com/j/ui-architect-reactjsvuejs-8-12-yrs-1279033.html?ref=kp&jobpos=108&jobversion=2,No Info,No Info
2023-Dec-21,PWA Developer,PWA Developer - React.js/TypeScript ,No Info,https://hirist.com/j/pwa-developer-reactjstypescript-6-9-yrs-1279204.html?ref=kp&jobpos=109&jobversion=2,No Info,No Info
2023-Dec-21,Lead Frontend Developer,Lead Frontend Developer - React.js ,No Info,https://hirist.com/j/lead-frontend-developer-reactjs-7-12-yrs-1279453.html?ref=kp&jobpos=110&jobversion=2,No Info,No Info
2023-Dec-21,Full Stack Java Developer,Full Stack Java Developer - Cloud Apps ,No Info,https://hirist.com/j/full-stack-java-developer-cloud-apps-4-10-yrs-1279073.html?ref=kp&jobpos=111&jobversion=2,No Info,No Info
2023-Dec-21,Senior Software Engineer,Senior Software Engineer - Golang/C#/TypeScript ,No Info,https://hirist.com/j/senior-software-engineer-golangctypescript-3-5-yrs-1279254.html?ref=kp&jobpos=112&jobversion=2,No Info,No Info
2023-Dec-21,UI Developer,UI Developer - Frontend Architecture ,No Info,https://hirist.com/j/ui-developer-frontend-architecture-3-6-yrs-1279017.html?ref=kp&jobpos=113&jobversion=2,No Info,No Info
2023-Dec-21,UI Developer,UI Developer - Javascript Frameworks ,No Info,https://hirist.com/j/ui-developer-javascript-frameworks-5-10-yrs-1279125.html?ref=kp&jobpos=114&jobversion=2,No Info,No Info
2023-Dec-21,Frontend Developer,Frontend Developer - Vue.js/AngularJS ,No Info,https://hirist.com/j/frontend-developer-vuejsangularjs-3-8-yrs-1279005.html?ref=kp&jobpos=115&jobversion=2,No Info,No Info
2023-Dec-21,Gloify,Gloify - Senior Java Developer - AWS/MongoDB/Spring Boot ,No Info,https://hirist.com/j/gloify-senior-java-developer-awsmongodbspring-boot-3-7-yrs-1279162.html?ref=kp&jobpos=116&jobversion=2,No Info,No Info
2023-Dec-21,Coducer Technologies,Coducer Technologies - Senior React.js Developer - Next.js ,No Info,https://hirist.com/j/coducer-technologies-senior-reactjs-developer-nextjs-2-3-yrs-1279154.html?ref=kp&jobpos=117&jobversion=2,No Info,No Info
2023-Dec-21,Senior Frontend Developer,Senior Frontend Developer - Javascript/React.js Frameworks ,No Info,https://hirist.com/j/senior-frontend-developer-javascriptreactjs-frameworks-6-10-yrs-1279362.html?ref=kp&jobpos=118&jobversion=2,No Info,No Info
